General deg, rldeg, rrdeg, fldeg, frdeg,a,b,c,d,f,g,w,z,p,m,gg,sa,asa
1.3020285367965698,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.3029143810272217,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.3112133741378784,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.3148726224899292,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.3287742137908936,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.3344557285308838,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.3838220834732056,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.4422355890274048,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.5120340585708618,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.564862608909607,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.569795846939087,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.5722029209136963,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.5788018703460693,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.583165168762207,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.5974892377853394,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.5985580682754517,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.5985580682754517,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.6050580739974976,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.6666457653045654,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.7251275777816772,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.7725235223770142,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.821357250213623,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

